solver,seed,max_spawn,seed_failed,fail_reason,enforce_ir,platoon_bonus,comm_delay,p_loss,async_frac,drag_reduce_pct,cd_rate_window,drag_force_window,ttc_p5,abs_acc_mean,abs_acc_rms,n_window_samples,clearing_time,merged,n_steps,avg_speed,min_speed,solve_time,total_utility,ir_violation_rate,platoon_len_avg,platoon_len_max,conv_iters,conv_fail_rate,success_rate,n_success,n_trials,weight_name,weight_idx,scale,weight_value
auc,30,20,0,,True,0.5,0,0.0,1.0,7.58998474154774,0.9241001525845226,184.90199666971904,10.0,0.2129624412472869,0.29202966639243827,164,21.1,20.0,312,19.81101030104943,18.313600845499405,6.849679453014874e-06,7.702731911519434,0.0,3.403455284552846,4.7682926829268295,nan,nan,1.0,30,30,acc,0,0.5,0.1
auc,1,20,0,,True,0.5,0,0.0,1.0,9.65888698161037,0.9034111301838963,178.68205131763995,8.145737146152925,0.19200676536432407,0.25117226859278896,135,19.700000000000003,20.0,289,20.0523014902661,18.75975069974512,7.103460318824618e-06,7.771644824951369,0.0,3.490740740740741,4.5851851851851855,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,2,20,0,,True,0.5,0,0.0,1.0,9.74861146332403,0.9025138853667597,171.99937667652668,6.988343471343391,0.240208874751903,0.36170385691055296,158,20.6,20.0,307,19.448134424132558,17.65277185406994,7.047882697587462e-06,7.758165637871172,0.0,4.318565400843881,4.69620253164557,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,3,20,0,,True,0.5,0,0.0,1.0,9.537497873103096,0.904625021268969,169.17519504219618,10.0,0.14053946609928086,0.21798265269922135,165,21.700000000000003,20.0,318,19.638257673458824,18.637288516421304,6.716981198058065e-06,7.821866520912912,0.0,2.877777777777778,3.6363636363636362,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,4,20,0,,True,0.5,0,0.0,1.0,8.976792569827873,0.9102320743017213,170.62276668194616,7.521312967610232,0.2994260855080569,0.44302470561198687,185,23.0,20.0,339,18.225504612431692,15.309986586567174,6.7876105134617155e-06,7.731709728671038,0.0,3.1468468468468465,3.5513513513513515,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,5,20,0,,True,0.5,0,0.0,1.0,9.371989658161494,0.906280103418385,165.15706203322085,9.915432509610458,0.14992059105077896,0.2476879256929176,152,20.3,20.0,304,19.49259607947781,18.316274734783242,6.817763086904674e-06,7.795424109674098,0.0,2.5690789473684212,3.0921052631578947,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,6,20,0,,True,0.5,0,0.0,1.0,8.712299556749869,0.9128770044325013,168.72490785204505,7.697580879090255,0.18926440334482336,0.3147449604628413,150,20.200000000000003,20.0,303,19.63091403597675,17.679602245957927,7.343894407067067e-06,7.741169924519358,0.0,2.4322222222222223,3.22,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,7,20,0,,True,0.5,0,0.0,1.0,8.601820687374563,0.9139817931262544,178.67461427405436,9.047890943300942,0.23403793837531556,0.2872153776873731,145,20.700000000000003,20.0,308,20.112562411918628,18.838605833899244,6.769155782882529e-06,7.772656008459098,0.0,3.163793103448276,3.9655172413793105,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,8,20,0,,True,0.5,0,0.0,1.0,10.411030825133572,0.8958896917486643,180.66929779371748,8.361850865005083,0.2063967004075249,0.26505593488645923,141,20.6,20.0,298,20.152221994505894,18.941314884463033,7.194966378511592e-06,7.77053129399025,0.0,3.952718676122931,5.24822695035461,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
auc,9,20,0,,True,0.5,0,0.0,1.0,8.033695412853326,0.9196630458714667,169.4141297473145,7.467744815997356,0.21914648924986235,0.3209151024966751,156,20.5,20.0,308,19.254833662984762,16.869163230470516,7.106168690275903e-06,7.788086791136657,0.0,2.496794871794872,3.2115384615384617,nan,nan,1.0,30,30,acc,0,0.75,0.15000000000000002
